,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,Agency_size,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
101,26,female,canada,NA,no,yes,yes,sometimes,Small,no,no,no,yes,no,no,no,very difficult,yes,no,no,no,no,not sure,no,yes
102,44,female,united states of america,Massachusetts,no,no,no,never,Medium,no,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,not sure,no,yes,no,no,not sure,no
103,25,male,united states of america,New York,no,yes,no,NA,Small,no,yes,not sure,no,not sure,not sure,not sure,very easy,no,no,yes,yes,no,no,not sure,no
104,33,male,united states of america,Wisconsin,no,yes,yes,sometimes,Small,yes,yes,yes,yes,yes,yes,yes,somewhat easy,no,no,yes,yes,not sure,not sure,yes,no
105,29,male,united states of america,New York,no,no,no,never,Big,no,yes,yes,not sure,yes,not sure,not sure,somewhat easy,no,no,yes,yes,no,no,not sure,no
106,35,male,united states of america,Missouri,no,yes,no,rarely,Small,no,yes,yes,not sure,no,no,yes,somewhat easy,no,no,yes,yes,no,no,not sure,no
107,35,male,united states of america,Oregon,no,yes,yes,sometimes,Small,yes,yes,not sure,not sure,no,no,not sure,somewhat easy,no,no,yes,yes,no,not sure,no,no
108,28,male,brazil,NA,no,yes,yes,rarely,Small,no,yes,no,no,no,no,no,not sure,not sure,no,yes,yes,no,no,not sure,yes
109,34,male,united states of america,Tennessee,no,yes,no,never,Small,yes,yes,yes,no,no,no,not sure,not sure,not sure,no,no,no,no,no,not sure,no
110,32,male,united states of america,Washington,no,no,yes,sometimes,Small,no,yes,yes,no,yes,yes,yes,somewhat difficult,not sure,no,yes,yes,no,not sure,yes,no
111,22,male,united states of america,New York,no,no,yes,sometimes,Medium,no,yes,yes,yes,no,not sure,yes,not sure,yes,no,no,no,no,yes,no,no
112,28,male,united states of america,California,no,no,yes,sometimes,Small,no,yes,yes,yes,yes,yes,yes,somewhat easy,no,no,yes,yes,no,not sure,yes,no
113,45,male,united states of america,Missouri,no,yes,yes,rarely,Small,yes,yes,yes,yes,no,yes,yes,very easy,no,no,yes,yes,yes,yes,yes,no
114,32,male,united states of america,New York,no,no,no,never,Medium,no,yes,yes,yes,no,not sure,not sure,not sure,not sure,no,yes,yes,no,no,not sure,no
115,28,male,united states of america,Texas,no,no,no,NA,Big,no,yes,not sure,no,no,not sure,not sure,not sure,not sure,no,yes,no,no,not sure,not sure,no
116,26,male,united kingdom,NA,no,no,no,never,Small,no,yes,not sure,no,no,not sure,not sure,very easy,no,no,yes,yes,no,no,not sure,yes
117,21,male,united kingdom,NA,yes,no,no,often,Small,yes,no,no,yes,no,no,yes,very difficult,yes,no,yes,yes,no,not sure,no,no
118,27,male,canada,NA,no,no,no,rarely,Small,no,no,yes,yes,yes,yes,yes,very easy,not sure,no,yes,yes,no,no,not sure,no
119,18,male,united states of america,Connecticut,no,no,yes,rarely,Small,yes,yes,no,no,no,no,yes,very easy,no,no,yes,no,no,no,not sure,no
120,35,male,united states of america,Colorado,no,no,no,NA,Small,yes,yes,not sure,not sure,no,not sure,not sure,not sure,no,no,yes,yes,not sure,not sure,not sure,no
121,29,male,united states of america,Georgia,no,no,no,never,Big,no,yes,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,not sure,no
122,25,male,united states of america,District of Columbia,no,no,no,NA,Small,yes,yes,not sure,no,no,no,not sure,very easy,no,no,yes,yes,no,no,not sure,no
123,33,male,united states of america,Minnesota,no,yes,yes,sometimes,Small,yes,yes,not sure,no,not sure,not sure,yes,very easy,no,no,yes,yes,no,not sure,yes,no
124,36,male,united states of america,Washington,no,no,no,often,Small,no,yes,yes,no,no,no,yes,not sure,not sure,no,no,no,no,no,not sure,no
125,27,male,canada,NA,no,no,yes,never,Medium,no,no,yes,not sure,no,no,not sure,very difficult,not sure,no,yes,yes,no,not sure,no,yes
126,27,male,united states of america,Washington,no,yes,no,never,Medium,no,yes,yes,no,yes,yes,yes,not sure,yes,no,yes,no,no,yes,not sure,no
127,27,male,united kingdom,NA,no,no,no,NA,Small,no,yes,no,no,no,no,not sure,not sure,no,no,yes,yes,no,no,not sure,no
128,32,male,united states of america,Oregon,no,no,yes,rarely,Medium,no,yes,yes,yes,no,yes,yes,not sure,yes,no,no,yes,no,no,not sure,no
129,31,male,united kingdom,NA,no,yes,no,sometimes,Small,no,yes,no,no,no,no,not sure,somewhat easy,not sure,not sure,no,no,no,no,yes,no
130,19,male,slovenia,NA,no,no,yes,sometimes,Small,no,yes,not sure,no,no,no,not sure,somewhat easy,yes,yes,yes,no,no,no,not sure,no
131,33,male,united states of america,Illinois,no,yes,yes,sometimes,Big,no,yes,yes,yes,no,no,not sure,very easy,not sure,no,yes,yes,no,yes,no,no
132,32,male,united states of america,California,no,no,no,rarely,Small,yes,yes,no,yes,no,no,not sure,very difficult,not sure,no,yes,yes,no,yes,not sure,no
133,27,male,united states of america,Nebraska,no,no,no,never,Small,no,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,yes,not sure,not sure,not sure,no
134,38,male,costa rica,NA,no,no,no,NA,Small,yes,yes,no,yes,no,no,yes,somewhat easy,no,no,yes,yes,not sure,yes,no,no
135,24,male,canada,NA,no,no,yes,never,Small,no,yes,not sure,no,no,no,not sure,not sure,no,no,yes,yes,not sure,yes,not sure,no
136,39,male,united kingdom,NA,no,no,no,never,Small,no,no,no,no,no,no,not sure,not sure,yes,not sure,no,no,no,no,not sure,no
137,28,male,united kingdom,NA,no,no,no,never,Small,no,yes,not sure,no,no,no,yes,very easy,no,no,yes,yes,not sure,not sure,yes,no
138,39,male,united states of america,Iowa,no,no,yes,often,Big,no,yes,yes,not sure,no,no,not sure,somewhat easy,no,no,yes,yes,no,no,not sure,no
139,29,female,united states of america,Maryland,no,no,no,NA,Small,no,yes,not sure,no,no,not sure,not sure,somewhat easy,not sure,no,yes,no,no,no,not sure,no
140,22,male,austria,NA,no,no,no,NA,Small,yes,yes,not sure,no,not sure,no,not sure,somewhat easy,no,no,yes,yes,no,no,not sure,no
141,38,male,united states of america,Oregon,no,yes,yes,sometimes,Medium,no,yes,not sure,no,not sure,not sure,not sure,not sure,not sure,no,yes,yes,no,no,not sure,no
142,37,male,united kingdom,NA,yes,no,yes,sometimes,Big,no,no,no,yes,yes,yes,yes,very difficult,yes,yes,yes,no,no,not sure,yes,no
143,35,male,united states of america,Texas,no,no,no,never,Small,yes,no,not sure,not sure,not sure,not sure,not sure,not sure,yes,no,yes,no,no,not sure,not sure,no
144,31,male,united states of america,Minnesota,no,no,no,NA,Big,yes,no,yes,no,not sure,yes,not sure,not sure,no,no,yes,yes,no,no,not sure,no
145,30,female,united states of america,Pennsylvania,no,yes,no,NA,Big,yes,yes,not sure,not sure,no,not sure,not sure,not sure,not sure,not sure,yes,yes,no,not sure,not sure,no
146,37,male,united states of america,Indiana,no,yes,yes,rarely,Medium,no,no,yes,yes,yes,yes,not sure,somewhat easy,not sure,not sure,yes,yes,not sure,not sure,not sure,no
147,24,male,united kingdom,NA,no,no,no,never,Small,no,yes,no,no,no,no,yes,not sure,not sure,not sure,no,yes,no,no,not sure,no
148,23,male,united states of america,West Virginia,no,no,no,sometimes,Small,no,no,no,no,no,no,no,somewhat easy,yes,yes,no,no,no,no,no,no
149,30,male,ireland,NA,no,no,yes,rarely,Medium,no,yes,no,yes,yes,yes,not sure,somewhat easy,yes,no,yes,no,no,no,no,yes
150,29,female,united states of america,Michigan,no,no,no,NA,Medium,yes,yes,not sure,not sure,no,not sure,not sure,not sure,not sure,no,no,yes,no,not sure,not sure,no
151,19,male,canada,NA,yes,yes,no,NA,Small,yes,yes,not sure,not sure,no,yes,yes,somewhat easy,not sure,no,yes,yes,not sure,not sure,not sure,no
152,32,male,united states of america,California,no,yes,no,never,Small,no,yes,not sure,not sure,no,no,not sure,very easy,no,no,yes,yes,no,not sure,no,no
153,28,male,poland,NA,no,no,no,rarely,Small,yes,yes,no,no,no,no,not sure,not sure,no,no,yes,yes,not sure,yes,yes,no
154,36,male,united states of america,Illinois,no,no,no,never,Small,no,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,yes,not sure,not sure,not sure,no
155,37,male,united kingdom,NA,no,yes,yes,rarely,Big,no,no,yes,yes,yes,yes,yes,somewhat difficult,yes,not sure,yes,no,no,yes,no,yes
156,25,male,united states of america,Illinois,no,yes,yes,sometimes,Small,no,no,not sure,no,no,not sure,not sure,somewhat difficult,not sure,no,yes,yes,no,not sure,no,no
157,27,male,united states of america,California,no,yes,yes,sometimes,Big,no,yes,not sure,no,no,not sure,not sure,not sure,no,no,no,yes,no,not sure,not sure,no
158,26,male,united states of america,Oklahoma,no,no,no,often,Small,no,no,not sure,not sure,no,no,not sure,not sure,yes,not sure,yes,yes,no,not sure,no,no
159,27,male,united states of america,Utah,no,no,yes,rarely,Small,yes,yes,no,yes,no,no,not sure,somewhat difficult,not sure,no,yes,yes,no,no,not sure,yes
160,25,male,united states of america,Illinois,no,yes,yes,sometimes,Small,no,yes,not sure,not sure,no,no,not sure,very easy,not sure,no,yes,no,no,no,not sure,yes
161,36,male,united kingdom,NA,no,no,yes,sometimes,Big,no,no,yes,yes,yes,yes,yes,somewhat easy,not sure,not sure,yes,yes,no,not sure,not sure,yes
162,25,female,united states of america,New York,no,yes,yes,sometimes,Medium,no,yes,yes,no,no,no,not sure,not sure,yes,yes,yes,yes,no,no,not sure,no
163,31,male,united states of america,California,no,no,no,never,Big,no,yes,yes,no,no,yes,not sure,not sure,no,no,yes,yes,no,no,not sure,no
164,26,male,united states of america,Massachusetts,no,yes,no,rarely,Small,no,yes,not sure,no,no,no,not sure,not sure,not sure,no,yes,yes,no,no,not sure,no
165,33,female,united states of america,Washington,yes,yes,yes,sometimes,Small,no,yes,no,yes,yes,yes,yes,very difficult,no,no,yes,yes,no,yes,yes,no
166,27,female,united kingdom,NA,yes,yes,no,NA,Small,yes,yes,no,yes,no,no,yes,somewhat easy,no,no,yes,yes,no,not sure,yes,no
167,34,male,united states of america,Minnesota,no,no,no,never,Small,no,yes,no,no,no,no,not sure,very easy,not sure,no,yes,yes,no,not sure,not sure,no
168,42,male,united states of america,California,no,no,no,NA,Small,no,yes,no,yes,no,no,not sure,very difficult,not sure,no,yes,yes,no,not sure,no,no
169,23,male,ireland,NA,yes,yes,no,sometimes,Small,no,yes,no,no,no,no,not sure,very difficult,yes,no,no,no,no,not sure,no,no
170,24,male,united kingdom,NA,no,no,no,rarely,Medium,no,yes,not sure,not sure,yes,not sure,not sure,very easy,not sure,not sure,yes,yes,no,not sure,not sure,no
171,26,male,united kingdom,NA,no,no,yes,sometimes,Big,no,yes,yes,yes,not sure,not sure,yes,somewhat easy,no,no,yes,yes,no,no,not sure,no
172,31,male,united kingdom,NA,yes,no,yes,often,Small,no,yes,not sure,no,no,no,not sure,not sure,not sure,no,yes,yes,no,not sure,not sure,no
173,22,male,india,NA,no,no,yes,never,Big,no,yes,not sure,not sure,no,no,not sure,very difficult,yes,not sure,no,no,not sure,not sure,no,no
174,23,female,united states of america,North Carolina,no,no,no,NA,Small,no,yes,not sure,no,no,not sure,not sure,not sure,not sure,not sure,yes,yes,no,not sure,yes,no
175,34,female,canada,NA,no,yes,yes,sometimes,Big,no,no,yes,yes,yes,no,not sure,somewhat easy,no,no,yes,yes,no,no,no,no
176,31,male,united states of america,Missouri,no,no,no,never,Small,no,yes,not sure,not sure,no,not sure,not sure,not sure,not sure,no,no,yes,no,not sure,not sure,no
177,28,male,united kingdom,NA,no,no,no,NA,Medium,no,no,no,not sure,no,yes,yes,somewhat easy,no,no,yes,yes,not sure,not sure,yes,no
178,32,female,united states of america,Massachusetts,no,no,yes,often,Small,yes,yes,yes,not sure,not sure,not sure,yes,very easy,no,no,yes,yes,no,no,yes,yes
179,45,female,united states of america,California,no,no,yes,sometimes,Small,no,yes,yes,no,no,no,yes,somewhat difficult,no,no,yes,yes,no,no,yes,no
180,33,male,united states of america,Texas,no,no,no,NA,Small,yes,yes,not sure,no,no,no,not sure,very easy,no,no,yes,yes,no,not sure,not sure,no
181,29,male,mexico,NA,no,no,no,never,Small,yes,yes,no,no,no,no,no,not sure,not sure,not sure,no,yes,not sure,yes,no,no
182,26,female,india,NA,yes,no,no,sometimes,Small,no,no,no,no,no,no,not sure,somewhat easy,not sure,not sure,yes,yes,no,no,not sure,no
